id,date,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,winning_margin,player_of_the_match,most_runs,most_wkts
1,"March 22,2024",Royal Challengers Bengaluru,Chennai Super Kings,RCB,Bat,173,6,176,4,Chennai Super Kings,6 WICKETS,Mustafizur Rahman,Anuj Rawat,Mustafizur Rahman
2,"March 23,2024",Delhi Capitals,Punjab Kings,PBKS,Field,174,9,177,6,Punjab Kings,4 WICKETS,Sam Curran,Sam Curran,Kuldeep Yadav
3,"March 23,2024",Kolkata Knight Riders,Sunrisers Hyderabad,SRH,Field,208,7,204,7,Kolkata Knight Riders,4 RUNS,Andre Russell,Andre Russell,T Natarajan
4,"March 24,2024",Rajasthan Royals,Lucknow Super Giants,RR,Bat,193,4,173,6,Rajasthan Royals,20 RUNS,Sanju Samson,Sanju Samson,Trent Boult
5,"March 24,2024",Gujarat Titans,Mumbai Indians,MI,Field,168,6,162,9,Gujarat Titans,6 RUNS,Sai Sudharsan,Dewald Brevis,Jasprit Bumrah
6,"March 25,2024",Punjab Kings,Royal Challengers Bengaluru,RCB,Field,176,6,178,6,Royal Challengers Bengaluru,4 WICKETS,Virat Kohli,Virat Kohli,Harpreet Brar
7,"March 26,2024",Chennai Super Kings,Gujarat Titans,GT,Field,206,6,143,8,Chennai Super Kings,63 RUNS,Shivam Dube,Shivam Dube,Tushar Deshpande
8,"March 27,2024",Sunrisers Hyderabad,Mumbai Indians,MI,Field,277,3,246,5,Sunrisers Hyderabad,31 RUNS,Abhishek Sharma,Heinrich Klaasen,Pat Cummins
9,"March 28,2024",Rajasthan Royals,Delhi Capitals,DC,Field,185,5,173,5,Rajasthan Royals,12 RUNS,Riyan Parag,Riyan Parag,Yuzvendra Chahal
10,"March 29,2024",Royal Challengers Bengaluru,Kolkata Knight Riders,KKR,Field,182,6,186,3,Kolkata Knight Riders,7 WICKETS,Sunil Narine,Virat Kohli ,Andre Russell
11,"March 30,2024",Lucknow Super Giants,Punjab Kings,LSG,Bat,199,8,178,5,Lucknow Super Giants,21 RUNS,Mayank Yadav,Shikhar Dhawan,Mayank Yadav
12,"March 31,2024",Sunrisers Hyderabad,Gujarat Titans,SRH,Bat,162,8,168,3,Gujarat Titans,7 WICKETS,Mohit Sharma,Sai Sudharsan,Mohit Sharma
13,"March 31,2024",Delhi Capitals,Chennai Super Kings,DC,Bat,191,5,171,6,Delhi Capitals,20 RUNS,Khaleel Ahmed,Jos Buttler,Mukesh Kumar
